BW Thomas St NB (Aston),2068,2129,3846,2663,2180,2129,1634,2003,1934,1951,1975,2063,2077,1871
BW A45 Small Heath Highway IB (Small Heath),18299,18299,19352,20542,21080,19569,13447,18863,19242,19415,19545,20297,17853,14292
BE A45 Coventry Rd WB (Yardley Swan),14206,14477,14441,14880,15493,14104,10853,13871,13982,11799,7850,17693,13550,11245
BW Bournbrook Rd (Selly Oak),7818,7809,7363,7855,7435,6105,4021,6478,7264,6809,6945,7445,5717,4166
BW A41 Soho Hill NB (Hockley),7883,7965,7791,7848,8665,7121,5524,7559,7821,8411,8160,8201,6893,5936
BE A435 Alcester Rd (Kings Heath),16581,16669,16701,17305,17547,17039,13894,16271,16623,16666,16868,17467,17558,15163
BW A47 Jennens Rd IB (City Centre),2035,2150,2212,2340,1984,1605,1063,1776,2042,2077,2184,1900,1589,1123
BW Bishop St at Hurst St (City Centre),243,253,291,301,297,629,608,315,282,280,406,408,1097,443
BW A47 Heartlands Parkway SB (Nechells),9854,10411,10037,10794,10703,9183,6115,9971,9902,10033,10175,9710,7732,5927
BE A34 Stratford Rd (Sparkhill),16999,17067,16858,16950,15521,16498,14864,16352,16569,16480,16803,17393,16324,14940
BE A38 Tyburn Rd WB (Bromford),22156,22977,22253,23156,21626,18474,12869,21573,21922,21431,21610,22160,16794,13108
BW Victoria Rd (Aston),14271,14062,16262,14960,14988,16384,14170,13968,15852,17151,16340,14867,16765,15346
BW A5127 Lichfield Rd SB to B4144 Junction (Aston),7538,7897,8262,8099,7887,5247,3682,7500,8011,7996,8952,8028,5581,4108
BW Rocky Lane at A34 Walsall Rd (Perry Barr),9998,11188,10543,11875,12323,10356,7445,10330,10523,10815,10016,11189,9650,7957
BW Pritchatts Rd (Edgbaston),5564,5788,5816,5537,4530,3035,2278,4708,5817,5797,6195,5503,2528,2262
BW A38 Bristol Rd SB at Eastern Rd (Edgbaston),13543,13833,14218,14171,14024,12242,9346,13295,14693,14169,14673,14899,12710,10604
BW Aldridge Rd at A4041 Queslett Rd (Perry Barr),19336,19602,19623,20181,21126,17598,12051,19203,19656,21084,20594,21361,18422,13270
BW A34 Birchfield Rd NB (Handsworth),11279,10629,11159,11034,12103,12679,9756,13413,13359,13512,14871,15485,13599,11607
BW A38 Bristol Rd South NB (Northfield),12768,13259,12980,13467,13859,11801,8084,12350,12752,12915,13166,13324,11872,9332
BW B4135 Sandpits WB at Edward St Camera 2 (City Centre),1572,1760,1792,1807,1676,2271,1572,1576,1768,1830,1540,1579,1044,808
BE A452 Chester Rd (Erdington),24229,24471,25297,25665,26445,22473,17286,24267,24969,25755,25642,26409,23016,18568
BW A38 Aston Webb Boulevard (Selly Oak),17766,18205,18885,18778,19544,15785,12609,18209,18595,18146,19625,19846,16742,13756
BW New Market St at A4400 Great Charles St Queensway (City Centre),1738,1956,2226,2727,2474,1830,1220,1468,1873,2087,2052,2382,2144,1381
BE A45 Coventry Rd WB (Sheldon),14686,14970,14992,15598,16180,14307,11664,14813,14574,14574,14405,15073,13884,11923
BW A5127 Lichfield Rd SB at Grosvenor Rd (Nechells),4479,4623,4638,4829,4980,4176,3200,4720,4787,4860,4813,4857,4155,3317
BW Heathfield Rd (Lozells),6399,6631,6581,6589,7202,6526,5273,6427,6407,6960,6901,7032,6519,5513
BE A453 College Rd SB from Chester Rd (Erdington),7745,8204,8041,8253,8602,7365,5266,7879,8055,7972,8138,8743,7558,6085
BW B384 Bristol Rd (Selly Oak),13318,13328,13350,13730,13969,12668,10098,12682,13363,12273,13407,13992,13031,11019
BW Hurst St NB at Skinner Ln (City Centre),1116,1285,1259,1240,1441,2144,1498,1268,1208,1241,1296,1560,2035,1562
BW A47 Heartlands Parkway NB (Nechells),10118,10304,10307,10743,11193,9416,6422,10324,10386,10355,10468,10267,8415,6643
BW B4100 Park St SB (City Centre),3092,3163,3165,3189,3711,4064,2720,3110,3045,3134,3189,3449,4223,2841
BE A4041 Queslett Rd EB at B4149 Kings Rd (Kingstanding),14006,14446,14342,14981,15713,13574,10547,13944,14750,14508,14911,15213,13726,11137
BW B4100 Moat Lane NB (City Centre),5036,5395,5011,5433,6043,6350,4142,4860,4860,5218,5513,6188,7556,5244
BE A5127 Gravelly Hill (Erdington),28088,28911,29753,31135,30438,29186,23282,29207,29889,30505,31062,31756,29633,24887
BW Bridge St (City Centre),2470,2264,2417,2347,2794,3077,1952,3032,2803,3318,4383,4555,4189,3017
BE A4040 Marsh Hill EB (Erdington),7250,7133,7266,7421,7781,6523,4821,6936,7291,7403,7385,7736,6698,5162
BW Somerset Rd at Edgbaston Park Rd (Edgbaston),11745,11458,11379,11807,11119,8005,5770,10021,10292,11796,11416,10966,7740,6177
BE A452 Chester Rd SB (Tyburn),13471,13619,13794,14400,14413,13933,10857,13377,13058,14008,12994,14421,13889,11100
BW Arthur Rd at Ampton Rd (Edgbaston),4517,4163,4140,4422,3830,3251,2247,3468,4001,4077,3889,4077,3111,2356
BW B4217 Church Rd WB at Priory Rd (Edgbaston),8621,8776,8438,8837,9150,7323,5576,8355,9038,9473,9690,9297,7590,5963
BE A452 Chester Rd North (Sutton Vesey),15552,15979,16084,16294,16648,13467,9311,14939,15823,16664,16215,16191,13024,9766
BE A4040 Bromford Ln SB (Hodge Hill),7010,8792,11080,13280,12534,11440,8589,9000,9556,12362,6750,9857,11289,9040
BW A4540 Ladywood Middleway WB at Five Ways (City Centre),9038,9683,8088,9753,10750,13489,10686,8083,8255,9807,10312,10849,13770,11694
BW B4137 Witton Ln SB (Aston),8258,8532,8350,8602,8733,7095,5208,8349,8555,8835,8602,8916,7495,5691
