Ref,Description,Northing,Easting,Date last working
R0001,A45 Coventry Road / Holder Road,284949.00,412172.00,2022-06-06 03:43:19
R0101,A38M Dartford Circus ATC Site,288281.00,407671.00,2021-12-16 13:55:12
R0105,Bradford St Digbeth,286442.00,407615.00,2021-07-07 14:25:28
R0199,Holloway Circus North Controller,286295.00,406772.00,2022-05-27 15:07:54
R0511,Gt Lister St Jn Dartmouth Middleway,287992.00,407883.00,2022-01-14 11:38:46
R0613,Heath Mill Lane / Liverpool Street / Fazeley Street,286642.00,408224.00,2022-05-29 23:19:53
R0622,A34/Stratford Road/Solihull Road,284969.00,412048.00,2022-05-12 05:55:27
R0645,[A34/Tesco???s Hall Green,284980.00,412019.00,2022-04-16 23:03:03
R0735,M42/J4 (Shirley Half of Gyratory),284980.00,412019.00,2022-06-13 08:35:53
R1167,Harbourne Lane / Quinton Road,283451.00,403768.00,2022-05-09 20:41:26
R4138,Brassington Avenue nr Station Street,0.00,0.00,2022-02-14 09:00:24
R7332,Station 7332,284980.00,412019.00,2022-03-22 11:41:01
