date,AM Peak,PM Peak,7am-7pm,24 hr,flow
2021-06-21,0,0,0,10,1541
2021-06-22,5,5,30,35,3753
2021-06-23,5,10,45,50,3119
2021-06-24,0,10,20,20,3408
2021-06-25,5,0,15,20,3634
2021-06-26,0,5,20,30,3507
2021-06-27,0,0,0,0,2950
2021-06-28,5,5,20,20,3276
2021-06-29,0,5,15,20,3099
2021-06-30,0,0,5,5,3230
2021-07-01,0,5,15,15,4068
2021-07-02,0,5,25,25,3599
2021-07-03,5,10,70,80,2678
2021-07-04,0,0,5,5,2855
2021-07-05,5,10,35,35,3905
2021-07-06,0,0,20,20,3407
2021-07-07,0,0,15,20,4270
2021-07-08,0,0,35,35,3486
2021-07-09,5,5,25,35,3168
2021-07-10,5,0,35,40,3228
2021-07-11,0,0,5,10,2888
2021-07-12,0,0,25,25,3610
2021-07-13,10,5,35,50,2676
2021-07-14,0,5,40,40,3532
2021-07-15,10,0,10,15,2896
2021-07-16,5,0,40,40,2532
2021-07-17,0,5,25,25,2492
2021-07-18,0,0,10,15,2347
2021-07-19,10,15,65,65,2926
2021-07-20,0,10,20,25,2156
2021-07-21,5,5,40,40,2891
2021-07-22,0,5,25,30,2433
2021-07-23,0,0,25,30,3456
2021-07-24,0,5,35,35,2680
2021-07-25,0,0,15,15,3012
2021-07-26,0,0,30,30,2905
2021-07-27,0,5,30,30,2858
2021-07-28,0,0,15,25,3318
2021-07-29,0,0,25,25,3186
2021-07-30,0,0,5,5,4669
2021-07-31,0,10,25,25,3603
2021-08-01,0,0,20,20,2930
2021-08-02,0,5,25,30,2897
2021-08-03,0,0,25,25,3411
2021-08-04,0,0,25,30,3064
2021-08-05,0,5,40,45,2587
2021-08-06,0,5,15,20,3147
2021-08-07,0,0,0,0,2945
2021-08-08,0,0,5,10,5013
2021-08-09,0,5,15,20,2882
2021-08-10,0,20,45,45,2659
2021-08-11,0,0,20,20,3015
2021-08-12,0,5,15,20,3137
2021-08-13,0,0,5,5,2736
2021-08-14,0,0,20,25,3463
2021-08-15,0,0,15,15,3287
2021-08-16,0,0,25,30,1924
2021-08-17,0,0,15,20,1701
2021-08-19,5,5,35,35,3095
2021-08-20,5,0,35,40,2894
2021-08-21,5,10,20,20,2335
2021-08-22,0,0,0,5,1873
2021-08-23,10,0,15,20,3408
2021-08-24,5,10,25,25,3231
2021-08-25,0,5,30,30,3222
2021-08-26,0,0,10,10,3119
2021-08-27,0,5,25,25,3557
2021-08-28,0,0,10,10,3732
2021-08-29,0,0,5,5,2442
2021-08-30,0,0,5,10,3111
2021-08-31,5,0,20,35,2261
2021-09-01,5,0,15,15,3126
